Operator/Tenant,Owner,"Warehouse Area (sq ft)","Warehouse Type","Lot Size","Year Opened",Address,County,"Zip code","Full Address",Neighborhood,"Site Description",Note,Link,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
,"Realterm Logistics","394,376",Last-Mile,"5 acres",,"512 Gardner Avenue",Kings,11222,"512 Gardner Avenue, Kings, New York 11222",Greenpoint,,,https://www.bldup.com/posts/greenpoint-distribution-center-sells-for-70m,40.725228,-73.931127,1,range_interpolation,512,"Gardner Ave",,,Brooklyn,NY,"Kings County",11222,US,"TIGER/Line® dataset from the US Census Bureau"
UPS,UPS,??,"Distribution Center",,??,"522 Greenwich Street",Manhattan,10013,"522 Greenwich Street, Manhattan, New York 10013",,,,,40.726292,-74.009206,1,range_interpolation,522,"Greenwich St",,,"New York",NY,"New York County",10013,US,"TIGER/Line® dataset from the US Census Bureau"
Amazon,,"975,000","Sortation Center/Delivery Station/Middle-mile",0,2020,"526 Gulf Avenue",Richmond,10314,"526 Gulf Avenue, Richmond, New York 10314",,,,"https://www.mwpvl.com/html/amazon_com.html
https://therealdeal.com/new-york/2017/09/06/amazon-confirms-plan-for-massive-distribution-center-on-staten-island/",40.620904,-74.18593,1,rooftop,526,"Gulf Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
Amazon,"Grinnel Realty Holdings LLC","88,000",,88000,,"537-555 Columbia Street",Kings,11231,"537-555 Columbia Street, Kings, New York 11231","Red Hook",,,https://commercialobserver.com/2018/05/dov-hertz-ground-leases-red-hook-industrial-site-for-990k-year/?ref=bklyner.com,40.672773,-74.007849,0.88,nearest_rooftop_match,557,"Columbia St",,,Brooklyn,NY,"Kings County",11231,US,"City of New York"
Amazon,??,??,"Amazon Fresh",,,"54-25 85th Street",Queens,11370,"54-25 85th Street, Queens, New York 11370",Maspeth,,,,40.762973,-73.883666,0.9,nearest_rooftop_match,25-11,"85th St",,,"East Elmhurst",NY,"Queens County",11370,US,"City of New York"
"BTS Fulfillment","BTS Fulfillment",??,??,,??,"5408 46th Street",Queens,11378,"5408 46th Street, Queens, New York 11378",Maspeth,,,,40.731281,-73.922376,1,rooftop,54-8,"46th St",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
Amazon,,"855,000","Fulfillment Center",0,2018,"546 Gulf Avenue",Richmond,10314,"546 Gulf Avenue, Richmond, New York 10314",,,"Sortable Fulfillment Center",https://www.mwpvl.com/html/amazon_com.html,40.619171,-74.187096,1,rooftop,546,"Gulf Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
Amazon,"Brookfield Properties","85,000","Prime Now Hub",0,2021,"55 Bay Street",Kings,11231,"55 Bay Street, Kings, New York 11231","Red Hook","Co-located with Amazon offices","Prime Now Hub/Fresh delivery for Brooklyn",https://www.mwpvl.com/html/amazon_com.html,40.672989,-74.006805,1,rooftop,55,"Bay St",,,Brooklyn,NY,"Kings County",11231,US,"City of New York"
Amazon,"RXR Realty & LBA Realty","770,000",Last-Mile,0,2022,"55-15 Grand Avenue",Queens,11378,"55-15 Grand Avenue, Queens, New York 11378",Maspeth,"5-story; Former Cascades Containerboard facility","Delivery Station for Queens","https://qns.com/2021/02/amazon-to-open-long-island-city-delivery-station/; https://therealdeal.com/new-york/2018/11/27/rxr-and-logistics-partner-plan-huge-vertical-warehouse-in-maspeth/; https://qns.com/2020/06/amazon-signs-lease-for-massive-warehouse-in-maspeth/;
https://therealdeal.com/2021/12/30/rxr-lba-logistics-lead-filing-flurry-with-123m-for-massive-gowanus-industrial-portfolio/",40.719127,-73.913751,1,rooftop,55-15,"Grand Ave",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
,EverWest,"70,500",Last-Mile,,??,"55-30 46th Street",Queens,11378,"55-30 46th Street, Queens, New York 11378",Maspeth,,,https://therealdeal.com/2021/09/22/everwest-acquired-a-maspeth-warehouse-from-wharton-for-57m/,40.728758,-73.923047,1,rooftop,55-30,"46th St",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
Amazon,,"250,000",Last-mile,,2022,"5605 Grand Avenue",Queens,11378,"5605 Grand Avenue, Queens, New York 11378",Maspeth,4-story,,https://www.mwpvl.com/html/amazon_com.html,40.728344,-73.891516,0.7,street_center,,"Grand Ave",,,Maspeth,NY,"Queens County",11378,US,"TIGER/Line® dataset from the US Census Bureau"
Amazon,,"450,000",Last-mile,,2020,"566 Gulf Avenue",Richmond,10314,"566 Gulf Avenue, Richmond, New York 10314",,,,https://www.mwpvl.com/html/amazon_com.html,40.615876,-74.188077,1,rooftop,566,"Gulf Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
??,ProLogis,"335,000",??,,??,"57-00 47th Street",Queens,11378,"57-00 47th Street, Queens, New York 11378",Maspeth,,,https://therealdeal.com/2022/01/04/prologis-snaps-up-another-maspeth-site-for-48m/,40.719204,-73.922936,0.99,rooftop,57-,"47th St",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
Amazon,"Seagis Property Group","40,000","Prime Now Hub",0,2019,"57-00 49th Place",Queens,11378,"57-00 49th Place, Queens, New York 11378",Maspeth,,,https://www.mwpvl.com/html/amazon_com.html,40.720873,-73.919787,0.99,rooftop,57-,"49th Pl",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
LaserShip,,,Last-Mile,,,"57-47 47th Street",Queens,11378,"57-47 47th Street, Queens, New York 11378",Maspeth,,,,40.719094,-73.922267,1,rooftop,57-47,"47th St",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
,"Innovo Property Grp.","150,000",,,,"58-30 Grand Avenue ",Queens,11378,"58-30 Grand Avenue , Queens, New York 11378",Maspeth,,,"https://therealdeal.com/2022/07/28/andrew-chungs-innovo-plans-ambitious-warehouse-in-sunnyside/
https://therealdeal.com/la/2018/08/01/hudson-pacific-properties-leases-former-coca-cola-factory-to-coupon-company/
https://commercialobserver.com/2018/10/innovo-seals-39m-queens-warehouse-buy-with-37m-pine-river-loan/",40.719669,-73.910692,1,rooftop,58-30,"Grand Ave",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
,"DY Realty Group","90,000",Last-Mile,,upcoming,"58-38 47th Street",Queens,11378,"58-38 47th Street, Queens, New York 11378",Maspeth,,,"https://www.loopnet.com/Listing/58-38-47th-St-Maspeth-NY/20030258/
https://www.dyrealty.com/files/954579.pdf",40.716839,-73.921946,1,rooftop,58-38,"47th St",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
,"NYM LTL","93,000",,0,upcoming,"58-38 Page Place",Queens,11378,"58-38 Page Place, Queens, New York 11378",Maspeth,,,https://therealdeal.com/new-york/2022/01/04/prologis-snaps-up-another-maspeth-site-for-48m/,40.719509,-73.918638,1,rooftop,58-38,"Page Pl",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
FedEx,"Turnbridge Equities","127,000",Last-Mile,,,"58-95 Maurice Avenue",Queens,11378,"58-95 Maurice Avenue, Queens, New York 11378",Maspeth,2-story,,https://therealdeal.com/new-york/2019/07/25/turnbridge-scoops-up-another-industrial-site-for-40m/,40.725778,-73.909768,1,rooftop,58-95,"Maurice Ave",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
FedEx,"Washington 585",??,"Distribution Center",,??,"585 Washington Street",Manhattan,10014,"585 Washington Street, Manhattan, New York 10014",,5-story,,,40.729556,-74.009208,1,range_interpolation,585,"Washington St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
Ikea,"Matrix Global Logistics Park","975,000","Distribution Center",,2018,"586 Gulf Avenue",Richmond,10303,"586 Gulf Avenue, Richmond, New York 10303",Bloomfield,,,https://www.silive.com/crime-safety/2022/06/fdny-responding-to-2-alarm-fire-at-bloomfield-factory-building.html,40.615854,-74.183753,0.88,rooftop,586,"Gulf Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
Amazon,"Cornucopia Logistics","54,300",Last-Mile,0,2015,"60 East 42nd Street",Manhattan,10165,"60 East 42nd Street, Manhattan, New York 10165",,,"Delivery Station for Manhattan",https://www.mwpvl.com/html/amazon_com.html,40.752285,-73.978464,1,rooftop,60,"E 42nd St",,,"New York",NY,"New York County",10165,US,"City of New York"
Amazon,"Thor Equities","336,350",Last-Mile,176000,2023,"640 Columbia Street",Kings,11231,"640 Columbia Street, Kings, New York 11231","Red Hook",3-story,"Delivery Station for Brooklyn","https://www.mwpvl.com/html/amazon_com.html
https://bohlerengineering.com/project/beginning-with-the-site-for-last-mile-distribution/ 
https://bklyner.com/amazon-leases-487k-of-warehouse-space-in-red-hook-further-expanding-brooklyn-footprint/",40.67071,-74.009542,1,rooftop,640,"Columbia St",,,Brooklyn,NY,"Kings County",11231,US,"City of New York"
Amazon,,"190,000",Last-Mile,0,2022,"66-26 Metropolitan Avenue",Queens,11379,"66-26 Metropolitan Avenue, Queens, New York 11379","Middle Village","Rentar Plaza","Delivery Station for Queens","https://therealdeal.com/2020/02/25/amazon-signs-300k-sf-lease-in-middle-village/
https://www.mwpvl.com/html/amazon_com.html",40.71216,-73.890711,1,rooftop,66-26,"Metropolitan Ave",,,"Middle Village",NY,"Queens County",11379,US,"City of New York"
Amazon,,"40,000","Prime Now Hub",0,2014,"7 W. 34th Street",Manhattan,10123,"7 W. 34th Street, Manhattan, New York 10123",Koreatown,,"Delivery Station for Manhattan","https://www.vno.com/office/property/7-west-34th-street/3311656/landing
https://www.mwpvl.com/html/amazon_com.html",40.74894,-73.985334,0.9,rooftop,7,"W 34th St",,,"New York",NY,"New York County",10001,US,"City of New York"
Amazon,"Potamkin Grp.","66,000",Last-Mile,0,2021,"706 11th Avenue",Manhattan,10011,"706 11th Avenue, Manhattan, New York 10011","Hell's Kitchen","2-story e-bike delivery station","Delivery Station for Midtown","https://www.warehouseautomation.ca/news-notes-1/2021/4/23/amazon-signs-deal-for-e-bike-logistics-hub-in-manhattan
https://www.mwpvl.com/html/amazon_com.html",40.766028,-73.994296,1,rooftop,706,"11th Ave",,,"New York",NY,"New York County",10019,US,"City of New York"
,RXR,"320,000",,,??,"722 Court Street",Kings,11231,"722 Court Street, Kings, New York 11231","Red Hook",,,"https://therealdeal.com/new-york/2021/06/09/madison-capital-snatches-up-red-hook-industrial-sites-for-45m/
https://www.nyc.gov/html/dot/downloads/pdf/red-hook-traffic-and-truck-study-mar2023.pdf",40.668934,-74.002759,1,rooftop,722,"Court St",,,Brooklyn,NY,"Kings County",11231,US,"City of New York"
,"Buckeye Terminals","700,000",,835219,??,"728 Court Street",Kings,11231,"728 Court Street, Kings, New York 11231","Red Hook",,,,40.668816,-74.003365,1,range_interpolation,728,"Court St",,,Brooklyn,NY,"Kings County",11231,US,"TIGER/Line® dataset from the US Census Bureau"
,"Dov Hertz’s DH Property Holdings and Bridge Development Partners","1,300,000",,,,"75 20th Street",Kings,11232,"75 20th Street, Kings, New York 11232","Sunset Park",,,https://therealdeal.com/new-york/2018/07/25/dov-hertz-in-contract-to-buy-massive-dev-site-in-sunset-park-heres-what-hes-planning/,40.66514,-73.998052,1,range_interpolation,75,"20th St",,,Brooklyn,NY,"Kings County",11232,US,"TIGER/Line® dataset from the US Census Bureau"
None,"Turnbridge Equities, Dune Real Estate Partners","120,800",Last-Mile,,upcoming,"807 Bank Street",Kings,11236,"807 Bank Street, Kings, New York 11236",Canarsie,"90,000 sq ft of parking",,https://therealdeal.com/2022/01/05/turnbridge-equities-dune-real-estate-snag-elusive-brooklyn-industrial-property/,40.654278,-73.898962,1,range_interpolation,807,"Bank St",,,Brooklyn,NY,"Kings County",11236,US,"TIGER/Line® dataset from the US Census Bureau"
Amazon,,"54,300","Prime Now Hub",0,2015,"850 3rd Avenue",Kings,11232,"850 3rd Avenue, Kings, New York 11232","Sunset Park","Liberty View Industrial Plaza","Amazon Flex Distribution Center","https://www.brownstoner.com/real-estate-market/amazon-opens-in-brooklyns-sunset-park/
https://www.mwpvl.com/html/amazon_com.html",40.658764,-74.003494,1,rooftop,850,"3rd Ave",,,Brooklyn,NY,"Kings County",11232,US,"City of New York"
,"Turnbridge Equities","1,200,000",Last-Mile,,??,"980 East 149th Street",Bronx,10455,"980 East 149th Street, Bronx, New York 10455","Hunts Point",,,"https://commercialobserver.com/2022/06/nycs-largest-under-construction-warehouse-rises-on-spec-in-hunts-point/
https://www.welcome2thebronx.com/2020/02/25/coming-soon-to-the-bronx-new-york-citys-largest-last-mile-warehouse/",40.809751,-73.903205,1,range_interpolation,980,"E 149th St",,,Bronx,NY,"Bronx County",10455,US,"TIGER/Line® dataset from the US Census Bureau"
